"Industry","At Constant 2018 Prices 2010-2011","At Constant 2018 Prices 2011-2012","At Constant 2018 Prices 2012-2013","At Constant 2018 Prices 2013-2014","At Constant 2018 Prices 2014-2015","At Constant 2018 Prices 2015-2016","At Constant 2018 Prices 2016-2017","At Constant 2018 Prices 2017-2018","At Constant 2018 Prices 2018-2019"
"..Electronic Products",-8.2,1.6,-6.7,13.4,15.2,13.4,25.6,17.0,2.3
"..Agricultural products",14.8,-1.5,17.4,5.8,-15.3,12.3,21.1,10.9,9.9
"..Fishery products",-8.4,1.2,46.7,-21.6,-24.4,39.2,30.3,-3.6,-21.3
"..Articles of apparel and clothing accessories",6.9,-17.7,-0.9,23.3,-30.1,-8.9,1.2,-0.2,-3.6
"..Cathodes and sections of cathodes, of refined copper",24.7,-53.2,25.3,-45.6,48.1,-62.4,542.7,58.4,21.9
"..Ignition wiring sets",-0.5,32.0,17.4,18.2,24.9,11.1,7.1,5.2,6.7
"..Metal components",-6.9,200.4,-10.5,-7.6,4.9,19.0,32.7,18.8,-3.9
"..Petroleum products",65.3,-44.6,118.4,-49.4,12.7,18.8,17.8,8.7,-46.2
"..Machinery and transport equipment",8.2,63.0,-43.3,61.7,0.4,2.5,20.9,-11.0,-9.5
"..Chemicals",2.7,-0.2,12.7,-1.4,-8.7,8.6,-1.2,-19.5,2.6
"..Woodcrafts and furniture",57.1,30.0,3.8,4.1,0.3,6.0,-51.2,-68.9,-2.4
"..Processed food and beverages",-10.1,2.8,6.3,5.8,-5.4,5.5,20.1,-0.8,3.5
"..Other exports of goods",-27.0,44.7,-10.5,28.4,-7.1,-7.2,14.3,39.7,-1.6
"Exports of Goods",-4.0,12.0,-4.4,13.3,3.6,8.2,18.1,13.1,1.1
